user_id,fold,is_candidate,starved_in_2050,starvation_time
3743,calibration,1,0,
3833,calibration,0,,
3848,evaluation,0,,
3894,evaluation,0,,
3904,calibration,0,,
3923,evaluation,0,,
3934,calibration,0,,
3968,evaluation,0,,
4006,evaluation,1,0,
4098,calibration,0,,
4104,calibration,0,,
4132,calibration,0,,
4208,evaluation,0,,
4246,calibration,1,0,
4277,evaluation,1,0,
4278,evaluation,0,,
4304,calibration,0,,
4326,calibration,1,0,
4353,evaluation,0,,
4377,calibration,1,0,
4408,evaluation,0,,
4410,evaluation,1,0,
4430,calibration,0,,
4459,evaluation,1,0,
4461,calibration,0,,
4509,evaluation,0,,
4545,evaluation,0,,
4579,evaluation,1,0,
4580,evaluation,1,0,
4626,calibration,0,,
4635,evaluation,1,0,
4675,calibration,1,0,
4709,calibration,1,0,
4741,calibration,1,0,
4783,calibration,0,,
4820,evaluation,1,0,
4902,evaluation,0,,
4924,calibration,1,0,
4958,evaluation,0,,
5057,calibration,0,,
5090,calibration,0,,
5119,evaluation,1,0,
5145,calibration,0,,
5166,evaluation,1,0,
5176,evaluation,0,,
5192,evaluation,0,,
5197,evaluation,0,,
5199,evaluation,0,,
5256,calibration,0,,
5257,calibration,0,,
5266,calibration,0,,
5283,evaluation,1,0,
5284,evaluation,0,,
5317,evaluation,0,,
5321,evaluation,0,,
5353,evaluation,0,,
5391,evaluation,0,,
5403,evaluation,0,,
5419,calibration,0,,
5451,calibration,0,,
5470,calibration,1,0,
5572,evaluation,1,0,
5593,calibration,0,,
5694,calibration,1,0,
5698,calibration,0,,
5759,calibration,0,,
5782,evaluation,0,,
5863,evaluation,1,0,
5871,calibration,0,,
5905,calibration,0,,
5997,evaluation,0,,
6009,calibration,0,,
6040,calibration,1,0,
6044,evaluation,0,,
6052,calibration,0,,
6115,evaluation,1,0,
6118,evaluation,1,0,
6125,evaluation,0,,
6130,evaluation,1,0,
6276,evaluation,1,0,
6306,evaluation,0,,
6344,evaluation,1,0,
6381,evaluation,0,,
6436,evaluation,0,,
6475,evaluation,0,,
6480,evaluation,0,,
6550,calibration,1,0,
6581,calibration,0,,
6592,calibration,0,,
6635,calibration,0,,
6655,evaluation,0,,
6713,calibration,0,,
6752,calibration,1,0,
6785,calibration,1,0,
6812,calibration,1,0,
6836,calibration,1,0,
6922,calibration,0,,
6936,calibration,1,0,
7099,calibration,0,,
7187,evaluation,0,,
7192,evaluation,1,0,
7232,calibration,1,0,
7248,evaluation,1,0,
7262,calibration,0,,
7289,calibration,0,,
7322,calibration,1,0,
7336,calibration,0,,
7403,evaluation,1,0,
7470,calibration,1,0,
7582,calibration,0,,
7596,calibration,0,,
7708,evaluation,0,,
7715,calibration,0,,
7737,evaluation,0,,
7775,evaluation,0,,
7796,evaluation,0,,
7819,calibration,0,,
7820,evaluation,1,0,
7861,calibration,0,,
7910,calibration,0,,
7923,calibration,0,,
7937,evaluation,0,,
8005,calibration,0,,
8076,evaluation,1,0,
8092,evaluation,0,,
8229,calibration,0,,
8373,calibration,0,,
8417,evaluation,0,,
8428,calibration,1,0,
8463,calibration,0,,
8466,evaluation,0,,
8510,calibration,0,,
8543,evaluation,1,0,
8586,evaluation,1,0,
8619,calibration,1,0,
8643,evaluation,0,,
8654,evaluation,0,,
8681,calibration,0,,
8715,calibration,0,,
8787,evaluation,0,,
8885,calibration,0,,
8898,evaluation,0,,
8932,calibration,1,0,
8958,calibration,0,,
8965,calibration,0,,
8969,evaluation,0,,
9020,evaluation,0,,
9134,evaluation,0,,
9148,calibration,1,0,
9167,evaluation,0,,
9222,evaluation,1,0,
9248,calibration,0,,
9318,calibration,1,0,
9319,calibration,0,,
9343,calibration,0,,
9422,evaluation,0,,
9510,calibration,0,,
9539,calibration,1,0,
9718,evaluation,1,0,
9809,evaluation,1,0,
9898,calibration,0,,
9957,evaluation,1,0,
10072,evaluation,0,,
10073,calibration,0,,
10151,evaluation,0,,
10209,calibration,0,,
10284,evaluation,0,,
10320,evaluation,0,,
10361,calibration,1,0,
10415,evaluation,0,,
10434,evaluation,0,,
10483,evaluation,1,0,
10493,evaluation,1,0,
10496,evaluation,1,0,
10499,evaluation,0,,
10538,evaluation,1,0,
10547,evaluation,0,,
10551,evaluation,0,,
10641,calibration,0,,
10704,evaluation,0,,
10713,calibration,0,,
10747,calibration,0,,
10764,evaluation,1,0,
10805,calibration,1,0,
10808,calibration,1,0,
10812,calibration,0,,
10822,calibration,0,,
10824,evaluation,1,0,
10830,calibration,0,,
10848,evaluation,1,0,
10952,evaluation,0,,
10956,evaluation,0,,
10989,calibration,0,,
11023,calibration,0,,
11100,calibration,0,,
11110,calibration,1,0,
11158,calibration,0,,
11162,evaluation,1,0,
11163,evaluation,0,,
11205,evaluation,0,,
11258,evaluation,1,0,
11295,calibration,1,0,
11315,calibration,1,0,
11373,evaluation,0,,
11387,evaluation,0,,
11481,evaluation,0,,
11489,calibration,1,0,
11527,evaluation,1,0,
11539,evaluation,1,0,
11587,evaluation,1,0,
11630,evaluation,0,,
11651,calibration,0,,
11683,evaluation,0,,
11710,calibration,1,0,
11744,calibration,0,,
11785,evaluation,0,,
11829,evaluation,0,,
11909,calibration,0,,
11920,calibration,0,,
11936,calibration,0,,
11964,calibration,0,,
11971,evaluation,0,,
11997,evaluation,0,,
12002,calibration,1,0,
12007,calibration,0,,
12109,calibration,0,,
12114,evaluation,0,,
12133,calibration,1,0,
12144,calibration,1,0,
12182,calibration,0,,
12201,evaluation,0,,
12244,calibration,1,0,
12249,evaluation,0,,
12307,evaluation,1,0,
12327,evaluation,1,0,
12385,calibration,1,0,
12395,calibration,0,,
12396,calibration,0,,
12423,evaluation,0,,
12433,evaluation,1,0,
12510,evaluation,0,,
12516,evaluation,0,,
12541,calibration,0,,
12554,evaluation,0,,
12593,evaluation,1,0,
12671,evaluation,0,,
12692,calibration,0,,
12701,evaluation,1,0,
12751,calibration,0,,
12775,evaluation,0,,
12859,calibration,0,,
12934,evaluation,0,,
12965,calibration,0,,
13013,evaluation,0,,
13040,calibration,1,0,
13079,evaluation,1,0,
13112,evaluation,0,,
13115,calibration,0,,
13120,evaluation,0,,
13127,evaluation,0,,
13146,evaluation,0,,
13178,evaluation,0,,
13211,evaluation,0,,
13277,evaluation,0,,
13289,evaluation,0,,
13315,calibration,1,0,
13359,evaluation,0,,
13366,evaluation,0,,
13373,calibration,1,0,
13389,evaluation,0,,
13438,calibration,1,0,
13549,evaluation,0,,
13731,evaluation,0,,
13772,evaluation,0,,
13826,calibration,1,0,
13829,calibration,0,,
13887,calibration,0,,
13892,evaluation,0,,
13964,evaluation,0,,
13976,calibration,0,,
14139,calibration,1,0,
14201,evaluation,1,0,
14270,calibration,0,,
14344,evaluation,1,0,
14436,evaluation,1,0,
14455,evaluation,1,0,
14529,evaluation,0,,
14534,evaluation,1,0,
14575,evaluation,0,,
14577,evaluation,0,,
14592,calibration,0,,
14594,calibration,0,,
14618,calibration,0,,
14641,evaluation,1,0,
14720,calibration,0,,
14721,calibration,1,0,
14750,calibration,1,0,
14809,calibration,0,,
14819,calibration,0,,
14831,calibration,1,0,
14844,calibration,0,,
14857,evaluation,0,,
14872,calibration,0,,
14905,calibration,0,,
14949,calibration,0,,
14953,calibration,0,,
14958,calibration,0,,
14982,evaluation,0,,
14989,evaluation,0,,
15004,evaluation,1,0,
15091,evaluation,0,,
15126,calibration,0,,
15143,evaluation,0,,
15192,evaluation,1,0,
15224,evaluation,1,0,
15234,evaluation,0,,
15244,evaluation,0,,
15307,calibration,0,,
15383,calibration,0,,
15395,evaluation,0,,
15397,evaluation,0,,
15400,calibration,0,,
15445,calibration,0,,
15458,calibration,0,,
15467,evaluation,0,,
15492,evaluation,0,,
15493,calibration,0,,
15494,calibration,0,,
15501,evaluation,1,0,
15542,calibration,1,0,
15555,calibration,1,0,
15573,calibration,0,,
15588,calibration,0,,
15603,evaluation,0,,
15617,calibration,0,,
15649,calibration,0,,
15661,evaluation,1,0,
15686,evaluation,1,0,
15702,calibration,0,,
15727,evaluation,1,0,
15735,calibration,1,0,
15752,evaluation,0,,
15794,evaluation,1,0,
15806,evaluation,1,0,
15822,evaluation,0,,
15826,calibration,0,,
15855,evaluation,0,,
15860,calibration,0,,
15962,evaluation,1,0,
16025,evaluation,0,,
16101,evaluation,0,,
16146,evaluation,0,,
16177,evaluation,0,,
16227,evaluation,1,0,
16278,calibration,0,,
16390,evaluation,0,,
16392,calibration,0,,
16393,calibration,0,,
16400,evaluation,0,,
16430,calibration,0,,
16440,evaluation,0,,
16452,evaluation,1,0,
16512,calibration,0,,
16518,evaluation,0,,
16561,evaluation,1,0,
16575,evaluation,0,,
16594,calibration,0,,
16613,evaluation,0,,
16658,calibration,1,0,
16689,evaluation,0,,
16710,calibration,0,,
16753,evaluation,0,,
16770,evaluation,0,,
16784,evaluation,1,0,
16855,calibration,0,,
16914,evaluation,0,,
16926,calibration,0,,
16945,calibration,1,0,
16955,evaluation,1,0,
16981,evaluation,0,,
17008,evaluation,1,0,
17015,calibration,0,,
17029,calibration,1,0,
17041,evaluation,0,,
17058,evaluation,1,0,
17104,calibration,0,,
17134,calibration,0,,
17162,evaluation,0,,
17189,evaluation,1,0,
17261,evaluation,0,,
17274,calibration,0,,
17292,calibration,0,,
17293,evaluation,0,,
17300,evaluation,0,,
17318,calibration,1,0,
17319,calibration,0,,
17337,evaluation,1,0,
17383,calibration,0,,
17394,calibration,0,,
17412,calibration,1,0,
17441,calibration,1,0,
17479,calibration,0,,
17556,calibration,0,,
17577,evaluation,0,,
17627,calibration,0,,
17645,calibration,0,,
17651,calibration,0,,
17657,calibration,0,,
17684,evaluation,0,,
17836,evaluation,1,0,
17870,calibration,0,,
17895,calibration,0,,
17905,evaluation,0,,
17941,calibration,1,0,
17953,evaluation,0,,
17958,evaluation,0,,
18047,evaluation,1,0,
18125,evaluation,0,,
18165,evaluation,1,0,
18174,evaluation,1,0,
18188,calibration,1,0,
18196,evaluation,0,,
18253,evaluation,1,0,
18265,evaluation,1,0,
18272,evaluation,0,,
18306,calibration,1,0,
18321,evaluation,0,,
18329,evaluation,0,,
18374,evaluation,0,,
18434,calibration,1,0,
18436,calibration,0,,
18552,evaluation,1,0,
18586,calibration,0,,
18602,evaluation,1,0,
18612,calibration,1,0,
18620,calibration,0,,
18623,evaluation,0,,
18627,evaluation,0,,
18628,evaluation,1,0,
18633,calibration,1,0,
18691,evaluation,0,,
18756,calibration,0,,
18765,calibration,1,0,
18791,calibration,0,,
18834,evaluation,0,,
18892,calibration,1,0,
18894,evaluation,0,,
18906,calibration,0,,
18935,calibration,0,,
18966,calibration,0,,
18968,calibration,0,,
18972,evaluation,0,,
19094,calibration,1,0,
19102,evaluation,1,0,
19188,evaluation,0,,
19191,evaluation,0,,
19247,calibration,1,0,
19285,evaluation,1,0,
19296,evaluation,0,,
19333,calibration,0,,
19344,calibration,0,,
19379,evaluation,1,0,
19447,evaluation,1,0,
19454,evaluation,0,,
19519,evaluation,0,,
19552,evaluation,0,,
19561,calibration,0,,
19624,evaluation,0,,
19664,evaluation,0,,
19766,evaluation,1,0,
19791,calibration,0,,
19825,evaluation,1,0,
19829,calibration,0,,
19835,calibration,1,0,
19886,calibration,1,0,
19906,evaluation,0,,
20008,evaluation,0,,
20025,evaluation,0,,
20055,calibration,1,0,
20106,evaluation,0,,
20175,evaluation,0,,
20187,calibration,0,,
20209,calibration,0,,
20212,calibration,0,,
20219,evaluation,0,,
20244,calibration,0,,
20258,evaluation,0,,
20279,evaluation,0,,
20335,evaluation,0,,
20514,calibration,0,,
20574,calibration,0,,
20604,evaluation,0,,
20628,evaluation,1,0,
20636,calibration,0,,
20653,evaluation,1,0,
20727,calibration,0,,
20744,evaluation,1,0,
20748,evaluation,0,,
20757,calibration,0,,
20778,evaluation,0,,
20814,calibration,0,,
20880,evaluation,0,,
20917,evaluation,1,0,
20918,calibration,0,,
20971,calibration,0,,
20998,calibration,0,,
21079,evaluation,0,,
21086,calibration,0,,
21155,calibration,0,,
21184,calibration,1,0,
21234,calibration,1,0,
21271,calibration,0,,
21315,calibration,0,,
21354,evaluation,0,,
21365,evaluation,1,0,
21502,calibration,0,,
21534,calibration,1,0,
21590,calibration,1,0,
21613,evaluation,0,,
21632,calibration,1,0,
21766,calibration,0,,
21790,evaluation,0,,
21846,calibration,0,,
21884,calibration,0,,
21895,calibration,0,,
21940,evaluation,0,,
21990,evaluation,0,,
22005,evaluation,0,,
22008,calibration,0,,
22031,evaluation,0,,
22066,evaluation,0,,
22089,calibration,0,,
22094,calibration,1,0,
22095,calibration,1,0,
22101,evaluation,1,0,
22126,calibration,0,,
22149,calibration,0,,
22213,calibration,1,0,
22280,evaluation,1,0,
22281,calibration,0,,
22393,evaluation,0,,
22403,calibration,0,,
22448,evaluation,0,,
22486,evaluation,0,,
22504,evaluation,0,,
22586,evaluation,0,,
22603,evaluation,0,,
22610,calibration,1,0,
22638,evaluation,1,0,
22680,calibration,0,,
22681,calibration,0,,
22726,calibration,0,,
22749,evaluation,0,,
22779,evaluation,1,0,
22803,evaluation,0,,
22804,calibration,1,0,
22825,calibration,0,,
22933,calibration,0,,
22984,evaluation,0,,
22999,evaluation,0,,
23102,evaluation,0,,
23154,evaluation,1,0,
23167,evaluation,0,,
23263,calibration,0,,
23270,evaluation,0,,
23302,evaluation,0,,
23351,calibration,0,,
23372,calibration,1,0,
23377,evaluation,1,0,
23479,calibration,0,,
23486,evaluation,0,,
23535,calibration,1,0,
23583,evaluation,0,,
23713,calibration,0,,
23826,calibration,0,,
23828,calibration,0,,
23837,evaluation,1,0,
23851,calibration,0,,
23872,evaluation,0,,
23966,evaluation,1,0,
24010,evaluation,0,,
24015,calibration,0,,
24028,evaluation,0,,
24081,calibration,0,,
24092,calibration,1,0,
24136,evaluation,0,,
24166,evaluation,1,0,
24207,calibration,0,,
24208,calibration,0,,
24273,evaluation,0,,
24368,calibration,0,,
24400,evaluation,0,,
24424,evaluation,0,,
24428,evaluation,0,,
24470,evaluation,0,,
24502,evaluation,0,,
24510,calibration,0,,
24529,calibration,0,,
24564,calibration,0,,
24588,evaluation,1,0,
24595,calibration,0,,
24636,evaluation,1,0,
24642,calibration,1,0,
24655,calibration,1,0,
24692,calibration,1,0,
24754,calibration,0,,
24803,calibration,0,,
24822,calibration,0,,
24855,calibration,0,,
24866,evaluation,0,,
24869,calibration,1,0,
24876,evaluation,0,,
24883,calibration,1,0,
24897,evaluation,0,,
24906,evaluation,1,0,
24932,evaluation,0,,
24934,evaluation,0,,
24941,calibration,0,,
24979,evaluation,0,,
25006,calibration,1,0,
25017,calibration,0,,
25094,evaluation,1,0,
25151,evaluation,1,0,
25195,calibration,0,,
25233,calibration,0,,
25259,calibration,1,0,
25386,evaluation,0,,
25389,calibration,0,,
25419,calibration,1,0,
25434,evaluation,0,,
25436,calibration,0,,
25453,evaluation,0,,
25489,calibration,0,,
25523,evaluation,0,,
25554,calibration,1,0,
25572,calibration,0,,
25630,evaluation,0,,
25711,evaluation,0,,
25730,calibration,0,,
25754,evaluation,0,,
25782,calibration,0,,
25790,calibration,0,,
25808,evaluation,1,0,
25826,calibration,1,0,
25854,calibration,1,0,
25861,evaluation,0,,
25879,calibration,0,,
25897,evaluation,0,,
25957,calibration,0,,
25983,calibration,1,0,
26086,evaluation,0,,
26176,evaluation,1,0,
26247,evaluation,1,0,
26306,calibration,0,,
26365,evaluation,1,0,
26488,calibration,0,,
26506,calibration,0,,
26554,calibration,0,,
26598,evaluation,0,,
26624,evaluation,0,,
26645,evaluation,0,,
26730,calibration,0,,
26792,calibration,0,,
26797,evaluation,0,,
26851,calibration,0,,
26900,evaluation,1,0,
26911,calibration,1,0,
26923,evaluation,1,0,
26924,calibration,0,,
26970,evaluation,0,,
27010,evaluation,0,,
27027,calibration,1,0,
27045,evaluation,1,0,
27050,calibration,0,,
27067,calibration,0,,
27070,calibration,0,,
27104,evaluation,0,,
27105,calibration,0,,
27111,calibration,1,0,
27130,calibration,1,0,
27158,calibration,0,,
27189,evaluation,0,,
27240,calibration,0,,
27243,evaluation,0,,
27285,calibration,0,,
27376,evaluation,0,,
27385,calibration,1,0,
27387,evaluation,1,0,
27392,evaluation,0,,
27399,calibration,0,,
27449,calibration,0,,
27454,evaluation,0,,
27459,calibration,0,,
27468,calibration,0,,
27472,evaluation,0,,
27498,calibration,1,0,
27530,evaluation,0,,
27557,evaluation,0,,
27592,evaluation,0,,
27617,evaluation,0,,
27658,evaluation,0,,
27737,evaluation,0,,
27801,calibration,0,,
27813,evaluation,1,0,
27830,calibration,0,,
27834,calibration,1,0,
27837,calibration,0,,
27844,calibration,1,0,
27864,calibration,0,,
27911,evaluation,0,,
27929,evaluation,1,0,
27953,calibration,0,,
27958,evaluation,1,0,
28030,calibration,0,,
28044,calibration,0,,
28084,evaluation,0,,
28090,evaluation,0,,
28144,evaluation,0,,
28185,evaluation,0,,
28224,calibration,0,,
28259,calibration,0,,
28274,calibration,0,,
28384,evaluation,0,,
28505,calibration,0,,
28513,calibration,1,0,
28519,calibration,0,,
28538,calibration,0,,
28569,calibration,0,,
28644,evaluation,0,,
28735,evaluation,1,0,
28736,calibration,0,,
28746,calibration,1,0,
28749,evaluation,1,0,
28767,calibration,0,,
28769,calibration,0,,
28784,evaluation,0,,
28811,evaluation,0,,
28853,evaluation,0,,
28884,calibration,1,0,
28966,evaluation,0,,
28990,evaluation,1,0,
28994,evaluation,0,,
29002,evaluation,0,,
29013,evaluation,1,0,
29021,calibration,1,0,
29028,evaluation,0,,
29045,evaluation,0,,
29053,calibration,0,,
29067,evaluation,0,,
29072,evaluation,1,0,
29087,calibration,1,0,
29116,calibration,1,0,
29162,evaluation,0,,
29278,calibration,0,,
29337,calibration,0,,
29381,calibration,0,,
29412,evaluation,0,,
29435,evaluation,0,,
29681,calibration,0,,
29772,evaluation,1,0,
29779,evaluation,0,,
29844,calibration,1,0,
29883,evaluation,1,0,
29898,calibration,1,0,
29902,evaluation,0,,
29947,calibration,0,,
29967,evaluation,1,0,
29999,calibration,1,0,
30025,calibration,1,0,
30041,calibration,1,0,
30079,evaluation,1,0,
30086,evaluation,0,,
30111,calibration,1,0,
30112,evaluation,1,0,
30117,calibration,0,,
30119,calibration,0,,
30185,calibration,0,,
30198,calibration,0,,
30247,evaluation,1,0,
30309,evaluation,1,0,
30355,calibration,0,,
30360,calibration,0,,
30368,calibration,0,,
30388,calibration,0,,
30417,evaluation,1,0,
30459,evaluation,0,,
30500,evaluation,0,,
30525,evaluation,1,0,
30554,evaluation,0,,
30568,calibration,0,,
30643,calibration,1,0,
30668,evaluation,1,0,
30689,evaluation,0,,
30727,calibration,0,,
30736,calibration,0,,
30828,evaluation,0,,
30833,evaluation,0,,
30878,calibration,1,0,
30879,evaluation,1,0,
30969,calibration,0,,
31007,calibration,0,,
31013,calibration,0,,
31023,calibration,1,0,
31041,evaluation,0,,
31045,evaluation,1,0,
31055,evaluation,0,,
31085,evaluation,0,,
31087,calibration,1,0,
31142,calibration,0,,
31186,evaluation,0,,
31268,evaluation,0,,
31324,evaluation,0,,
31431,evaluation,0,,
31459,evaluation,0,,
31493,calibration,0,,
31585,evaluation,0,,
31622,calibration,0,,
31648,evaluation,1,0,
31657,calibration,0,,
31716,evaluation,1,0,
31762,evaluation,1,0,
31770,calibration,1,0,
31838,evaluation,0,,
31909,calibration,0,,
31945,evaluation,0,,
31973,calibration,0,,
31982,evaluation,0,,
32063,calibration,1,0,
32074,evaluation,1,0,
32112,calibration,0,,
32166,calibration,1,0,
32258,calibration,0,,
32271,evaluation,0,,
32372,evaluation,0,,
32579,calibration,1,0,
32596,calibration,0,,
32610,evaluation,0,,
32626,evaluation,0,,
32646,evaluation,1,0,
32762,evaluation,1,0,
32784,evaluation,0,,
32787,calibration,0,,
32891,calibration,1,0,
32923,evaluation,0,,
32992,evaluation,0,,
32993,calibration,0,,
33037,calibration,0,,
33045,evaluation,1,0,
33047,calibration,1,0,
33053,evaluation,0,,
33109,calibration,0,,
33112,calibration,0,,
33155,calibration,0,,
33198,evaluation,1,0,
33334,evaluation,0,,
33357,evaluation,1,0,
33363,calibration,0,,
33381,calibration,0,,
33426,calibration,0,,
33438,calibration,0,,
33476,evaluation,0,,
33529,evaluation,0,,
33710,evaluation,0,,
33722,evaluation,0,,
33785,evaluation,0,,
33804,evaluation,0,,
33809,evaluation,1,0,
33827,evaluation,0,,
33829,calibration,0,,
33844,calibration,1,0,
33891,evaluation,0,,
33900,calibration,0,,
33992,evaluation,0,,
34046,calibration,0,,
34093,evaluation,0,,
34096,evaluation,0,,
34106,evaluation,0,,
34146,evaluation,1,0,
34220,evaluation,1,0,
34239,evaluation,0,,
34274,calibration,1,0,
34290,calibration,1,0,
34344,evaluation,0,,
34347,evaluation,0,,
34431,calibration,1,0,
34589,evaluation,0,,
34605,calibration,0,,
34620,calibration,0,,
34636,evaluation,1,0,
34641,evaluation,1,0,
34680,calibration,0,,
34857,evaluation,0,,
35061,calibration,1,0,
35067,calibration,0,,
35149,calibration,1,0,
35169,calibration,1,0,
35181,evaluation,0,,
35194,evaluation,1,0,
35224,calibration,0,,
35282,calibration,1,0,
35304,calibration,0,,
35316,evaluation,1,0,
35327,calibration,1,0,
35336,evaluation,0,,
35340,evaluation,0,,
35391,evaluation,1,0,
35425,evaluation,0,,
35516,evaluation,0,,
35569,evaluation,0,,
35586,evaluation,1,0,
35588,calibration,1,0,
35649,calibration,0,,
35657,calibration,1,0,
35677,evaluation,0,,
35725,evaluation,0,,
35740,calibration,1,0,
35783,calibration,0,,
35842,calibration,1,0,
35918,evaluation,0,,
35930,evaluation,1,0,
35950,calibration,1,0,
35963,calibration,1,0,
36002,evaluation,0,,
36029,evaluation,1,0,
36085,calibration,0,,
36163,evaluation,0,,
36225,evaluation,0,,
36337,calibration,0,,
36380,calibration,0,,
36386,calibration,0,,
36425,calibration,0,,
36469,calibration,0,,
36561,calibration,1,0,
36629,calibration,0,,
36665,calibration,1,0,
36724,evaluation,0,,
36787,calibration,1,0,
36795,calibration,0,,
36811,calibration,1,0,
36830,evaluation,0,,
36879,calibration,0,,
36904,evaluation,0,,
36937,evaluation,0,,
37063,calibration,0,,
37089,calibration,0,,
37101,calibration,0,,
37120,calibration,0,,
37129,calibration,1,0,
37146,evaluation,0,,
37179,calibration,0,,
37207,evaluation,0,,
37222,evaluation,0,,
37232,calibration,0,,
37254,evaluation,1,0,
37258,calibration,0,,
37276,calibration,0,,
37281,calibration,0,,
37287,calibration,1,0,
37322,evaluation,1,0,
37336,calibration,0,,
37342,evaluation,0,,
37381,calibration,0,,
37404,evaluation,0,,
37451,evaluation,0,,
37481,evaluation,0,,
37533,evaluation,1,0,
37552,calibration,1,0,
37588,calibration,1,0,
37600,calibration,0,,
37670,evaluation,0,,
37686,evaluation,0,,
37727,evaluation,0,,
37728,calibration,0,,
37802,evaluation,0,,
37805,evaluation,0,,
37847,calibration,0,,
37877,calibration,0,,
37901,calibration,0,,
37920,evaluation,0,,
37950,evaluation,0,,
37977,calibration,0,,
38000,calibration,0,,
38013,calibration,0,,
38023,evaluation,0,,
38027,evaluation,0,,
38065,calibration,0,,
38067,calibration,0,,
38100,calibration,0,,
38118,calibration,0,,
38158,calibration,1,0,
38250,evaluation,0,,
38272,calibration,0,,
38311,calibration,1,0,
38346,calibration,0,,
38398,evaluation,0,,
38443,evaluation,0,,
38460,calibration,0,,
38486,evaluation,0,,
38509,calibration,0,,
38569,calibration,0,,
38610,calibration,0,,
38614,evaluation,0,,
38718,evaluation,1,0,
38797,calibration,0,,
38810,evaluation,0,,
38814,evaluation,1,0,
38820,evaluation,0,,
38860,evaluation,0,,
38962,evaluation,0,,
38971,evaluation,0,,
38975,calibration,1,0,
38976,calibration,1,0,
38982,calibration,1,0,
39004,calibration,0,,
39083,evaluation,0,,
39092,calibration,0,,
39104,calibration,0,,
39111,evaluation,0,,
39146,evaluation,0,,
39207,evaluation,0,,
39218,evaluation,1,0,
39230,evaluation,0,,
39251,evaluation,1,0,
39260,evaluation,0,,
39261,evaluation,0,,
39264,evaluation,0,,
39325,evaluation,1,0,
39329,evaluation,0,,
39347,calibration,1,0,
39359,evaluation,0,,
39397,evaluation,0,,
39426,calibration,1,0,
39447,evaluation,0,,
39449,calibration,0,,
39496,calibration,0,,
39603,evaluation,0,,
39608,evaluation,0,,
39641,evaluation,0,,
39652,calibration,1,0,
39668,evaluation,1,0,
39728,calibration,1,0,
39732,evaluation,1,0,
39767,evaluation,1,0,
39896,calibration,1,0,
39911,evaluation,0,,
39916,evaluation,1,0,
39925,calibration,0,,
39954,evaluation,1,0,
39989,calibration,0,,
40005,evaluation,0,,
40018,calibration,0,,
40046,calibration,0,,
40076,calibration,0,,
40087,evaluation,0,,
40091,evaluation,0,,
40211,calibration,1,0,
40260,calibration,0,,
40261,evaluation,0,,
40313,calibration,1,0,
40326,calibration,1,0,
40344,evaluation,0,,
40346,calibration,0,,
40511,evaluation,1,0,
40531,evaluation,0,,
40594,calibration,0,,
40611,calibration,0,,
40647,calibration,0,,
40749,calibration,0,,
40764,calibration,0,,
40791,calibration,0,,
40797,calibration,0,,
40799,calibration,0,,
